area	peak_db	peak_abs_freq_hz
-13.944633801282043	-43.24294483256584	1000000419.6166992
-10.87918514543979	-40.40670052002098	999999313.3544922
-9.427361477734497	-38.80651916350868	999998922.3480225
-9.042424542021134	-38.38886746533863	999998922.3480225
-8.93053531126908	-38.009235925337954	999997930.5267334
-9.25842314521349	-38.150526104360786	1000004935.2645874
-9.244878284362555	-38.09951556660045	999989938.7359619
-9.505895755083069	-38.121545410918245	999979944.229126
-10.247844161785187	-38.180579701359015	999949946.4035034
-12.85277691246549	-38.03026155760315	999899954.7958374
-16.618722148713587	-38.888726952031654	999799957.2753906
-38.811924783803356	-58.623651688906556	999999961.8530273
-40.017240990137594	-60.01852131386898	999999961.8530273
-42.07703309387905	-62.44516701853666	999999966.6213989
-45.32255544809747	-66.65258921249125	999999971.3897705
area	peak_db	peak_abs_freq_hz
-11.613425357564207	-30.939622368673252	999999914.1693115
-12.250977749539611	-31.577366727232437	999999918.9376831
-12.330930828089548	-31.64273217766411	999999923.7060547
-12.921235488782553	-32.24654263977055	999999928.4744263
-14.460937552266069	-33.813974539833765	999999933.2427979
-14.702378508339741	-33.9685759379715	999999938.0111694
-15.044556654826579	-34.37405195367737	999999942.779541
-15.603950134914173	-34.848784347319	999999942.779541
-17.14240108530695	-36.39194722373486	999999947.5479126
-18.10747940868925	-37.23694057733788	999999952.3162842
-18.67631264499629	-37.823701435512646	999999952.3162842
-19.505208047575188	-38.70490770856773	999999957.0846558
-19.462366032490674	-38.82096768437946	999999961.8530273
-19.84241641799616	-39.15008664817084	999999961.8530273
-21.450092388918893	-40.63163150226873	999999961.8530273
